time,tags,cpu,cpu-jiffies,disk-io/all/io,disk-io/all/ioBytes,disk-io/all/ioTime,disk-io/all/read,disk-io/all/readBytes,disk-io/all/readTime,disk-io/all/write,disk-io/all/writeBytes,disk-io/all/writeTime,disk-usage/all/free,disk-usage/all/used,load/1,load/15,load/5,mem/free,mem/percent,mem/used,net-io/bytes,net-io/dropped,net-io/errors,net-io/packets,net-io/rx_bytes,net-io/rx_packets,net-io/tx_bytes,net-io/tx_packets,net-proto/icmp/InAddrMaskReps,net-proto/icmp/InAddrMasks,net-proto/icmp/InCsumErrors,net-proto/icmp/InDestUnreachs,net-proto/icmp/InEchoReps,net-proto/icmp/InEchos,net-proto/icmp/InErrors,net-proto/icmp/InMsgs,net-proto/icmp/InParmProbs,net-proto/icmp/InRedirects,net-proto/icmp/InSrcQuenchs,net-proto/icmp/InTimeExcds,net-proto/icmp/InTimestampReps,net-proto/icmp/InTimestamps,net-proto/icmp/OutAddrMaskReps,net-proto/icmp/OutAddrMasks,net-proto/icmp/OutDestUnreachs,net-proto/icmp/OutEchoReps,net-proto/icmp/OutEchos,net-proto/icmp/OutErrors,net-proto/icmp/OutMsgs,net-proto/icmp/OutParmProbs,net-proto/icmp/OutRedirects,net-proto/icmp/OutSrcQuenchs,net-proto/icmp/OutTimeExcds,net-proto/icmp/OutTimestampReps,net-proto/icmp/OutTimestamps,net-proto/icmpmsg/InType0,net-proto/icmpmsg/InType13,net-proto/icmpmsg/InType3,net-proto/icmpmsg/InType8,net-proto/icmpmsg/OutType0,net-proto/icmpmsg/OutType14,net-proto/icmpmsg/OutType3,net-proto/icmpmsg/OutType8,net-proto/ip/ForwDatagrams,net-proto/ip/FragCreates,net-proto/ip/FragFails,net-proto/ip/FragOKs,net-proto/ip/InAddrErrors,net-proto/ip/InDelivers,net-proto/ip/InDiscards,net-proto/ip/InHdrErrors,net-proto/ip/InReceives,net-proto/ip/InUnknownProtos,net-proto/ip/OutDiscards,net-proto/ip/OutNoRoutes,net-proto/ip/OutRequests,net-proto/ip/ReasmFails,net-proto/ip/ReasmOKs,net-proto/ip/ReasmReqds,net-proto/ip/ReasmTimeout,net-proto/tcp/ActiveOpens,net-proto/tcp/AttemptFails,net-proto/tcp/CurrEstab,net-proto/tcp/EstabResets,net-proto/tcp/InCsumErrors,net-proto/tcp/InErrs,net-proto/tcp/InSegs,net-proto/tcp/OutRsts,net-proto/tcp/OutSegs,net-proto/tcp/PassiveOpens,net-proto/tcp/RetransSegs,net-proto/udp/IgnoredMulti,net-proto/udp/InCsumErrors,net-proto/udp/InDatagrams,net-proto/udp/InErrors,net-proto/udp/NoPorts,net-proto/udp/OutDatagrams,net-proto/udp/RcvbufErrors,net-proto/udp/SndbufErrors,net-proto/udplite/IgnoredMulti,net-proto/udplite/InCsumErrors,net-proto/udplite/InDatagrams,net-proto/udplite/InErrors,net-proto/udplite/NoPorts,net-proto/udplite/OutDatagrams,net-proto/udplite/RcvbufErrors,net-proto/udplite/SndbufErrors,num_procs
2019-11-07 19:10:07.997137012,RCA=wally178 anomaly=bandwidth_hypervisor component=wally178 group=wally178 host=wally178 index=4 injected=wally178 layer=physical node=wally178 target=wally178|bandwidth_hypervisor,25.409836067361546,2.1693177104578365,9.995876540992816,94169.15004630265,47.98020797229059,0,0,0,9.995876481042288,94169.15079934518,63.9736085194622,1.861336727552e+12,0.6744849441696347,1.41,1.46,1.52,4.795097088e+09,69.18739257473653,1.1622191104e+10,7.6881789219723055e+06,0,0,18164.110496569705,3.8418603696843456e+06,9102.053340942275,3.846319667399491e+06,9062.059874722418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1832.6569522757313,0,0,1832.6547351785114,0,0,0,1805.6593695825657,0,0,0,0,0,0,221,0,0,0,24.99516573498553,0,29.9941836778721,0.9998067983340968,0,0,0,1807.6667168720767,0,69,0,0,0,0,0,0,0,0,0,0,0,209
2019-11-07 19:10:08.497222719,RCA=wally178 anomaly=bandwidth_hypervisor component=wally178 group=wally178 host=wally178 index=4 injected=wally178 layer=physical node=wally178 target=wally178|bandwidth_hypervisor,27.036599768117526,2.289226234702245,9.998237340751537,94191.39151450843,47.99153774813195,0,0,0,9.998237190804415,94191.39132615885,63.9887175733062,1.861336727552e+12,0.6744849441696347,1.41,1.46,1.52,4.781756416e+09,69.26681015637973,1.1635531776e+10,8.314131119334119e+06,0,0,19349.12651615525,4.154429465982083e+06,9695.5571655899,4.1597006763952356e+06,9653.566702669792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1943.5254649354304,0,0,1943.5271087580056,0,0,0,1914.534496253512,0,0,0,0,0,0,221,0,0,0,12.996843443636001,0,16.995871532845953,0,0,0,0,1930.524951864045,0,69,0,0,0,0,0,0,0,0,0,0,0,209
2019-11-07 19:10:09.023403031,RCA=wally178 anomaly=bandwidth_hypervisor component=wally178 group=wally178 host=wally178 index=4 injected=wally178 layer=physical node=wally178 target=wally178|bandwidth_hypervisor,59.99999962747098,3.8289958057525326,0,0,0,0,0,0,0,0,0,1.861336727552e+12,0.6744849441696347,1.41,1.46,1.52,4.775325696e+09,69.30509250307296,1.1641962496e+10,1.4069101834824942e+07,0,0,30260.309865573025,7.219658230392583e+06,15320.735789461303,6.849158753061509e+06,14939.190818411465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3142.0806550301954,0,0,3141.8803936147756,0,0,0,2821.475558615289,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,3205.9405822513872,0,69,0,0,0,0,0,0,0,0,0,0,0,211
2019-11-07 19:10:09.524118137,RCA=wally178 anomaly=bandwidth_hypervisor component=wally178 group=wally178 host=wally178 index=4 injected=wally178 layer=physical node=wally178 target=wally178|bandwidth_hypervisor,25.5369928390345,2.073940957649454,0,0,0,0,0,0,0,0,0,1.861336727552e+12,0.6744849441696347,1.41,1.46,1.52,4.789735424e+09,69.21931078608775,1.1627552768e+10,9.059786165526737e+06,0,0,20892.237108545076,4.530439331964572e+06,10490.684136847784,4.529343735182201e+06,10401.549150304756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2132.3132646219237,0,0,2132.3090482435077,0,0,0,2056.782241960583,0,0,0,0,0,0,221,0,0,0,7.746859317681654,0,7.74686758459546,0,0,0,0,2124.561005319647,0,69,0,0,0,0,0,0,0,0,0,0,0,211
2019-11-07 19:10:10.054272806,RCA=wally178 anomaly=bandwidth_hypervisor component=wally178 group=wally178 host=wally178 index=4 injected=wally178 layer=physical node=wally178 target=wally178|bandwidth_hypervisor,58.33333398008512,4.6774269513221665,0,0,0,0,0,0,0,0,0,1.861336723456e+12,0.6744851515614162,1.41,1.46,1.52,4.779655168e+09,69.27927020680026,1.1637624832e+10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,209
2019-11-07 19:10:10.555241125,RCA=wally178 anomaly=bandwidth_hypervisor component=wally178 group=wally178 host=wally178 index=4 injected=wally178 layer=physical node=wally178 target=wally178|bandwidth_hypervisor,28.73563218636893,2.425165014630031,0,0,0,0,0,0,0,0,0,1.861336723456e+12,0.6744851515614162,1.37,1.46,1.51,4.797534208e+09,69.17281114586866,1.1619741696e+10,3.5496860925540254e+06,0,0,9317.270792858044,1.7783589084548475e+06,4886.665202838957,1.771316440736838e+06,4430.563748840723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043.6915369662495,0,0,1043.6971196177356,0,0,0,782.7686016641269,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,1108.970869814126,0,69,0,0,0,0,0,0,0,0,0,0,0,209
2019-11-07 19:10:10.581844193,RCA=wally178 anomaly=bandwidth_hypervisor component=wally178 group=wally178 host=wally178 index=4 injected=wally178 layer=physical node=wally178 target=wally178|bandwidth_hypervisor,0,0,0,0,0,0,0,0,0,0,0,1.861336723456e+12,0.6744851515614162,1.37,1.46,1.51,4.794597376e+09,69.19026984665359,1.1622674432e+10,6.553028104341574e+06,0,0,17985.646573617985,3.1776598626091313e+06,9055.605378853514,3.3751979797108294e+06,8929.651700821954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,209
2019-11-07 19:10:11.082146559,RCA=wally178 anomaly=bandwidth_hypervisor component=wally178 group=wally178 host=wally178 index=4 injected=wally178 layer=physical node=wally178 target=wally178|bandwidth_hypervisor,32.563510409498676,2.7387713664379136,0,0,0,0,0,0,0,0,0,1.861336723456e+12,0.6744851515614162,1.37,1.46,1.51,4.771397632e+09,69.32840328233328,1.1645878272e+10,1.0319436079740794e+07,1.9398418307674734,0,23652.491947250823,5.164072736803771e+06,11875.712563364623,5.155366645986982e+06,11776.779960195143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988.4629920919176,0,0,1988.4658263001,0,0,0,1906.9061986821105,0,0,0,0,0,0,221,0,0,0,3.8836686890631866,0,3.8836669922396485,0,0,0,0,1982.6021053385741,0,69,0,0,0,0,0,0,0,0,0,0,0,209
2019-11-07 19:10:11.58224245,RCA=wally178 anomaly=bandwidth_hypervisor component=wally178 group=wally178 host=wally178 index=4 injected=wally178 layer=physical node=wally178 target=wally178|bandwidth_hypervisor,31.455399070116385,2.6401643429731094,0,0,0,0,0,0,0,0,0,1.861336723456e+12,0.6744851515614162,1.37,1.46,1.51,4.77411328e+09,69.312236915545,1.1643162624e+10,1.0416197823764583e+07,0.9845982912619603,0,23653.98175684491,5.179474128463241e+06,11862.437631902483,5.236726948634803e+06,11791.547812620325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003.7062872399315,0,0,2003.7059023365725,0,0,0,1912.0913283066564,0,0,0,0,0,0,221,0,0,0,11.82122561899799,0,51.225298248733836,0,0,0,0,1990.8883316152849,0,69,0,0,0,0,0,0,0,0,0,0,0,209
2019-11-07 19:10:12.082489911,RCA=wally178 anomaly=bandwidth_hypervisor component=wally178 group=wally178 host=wally178 index=4 injected=wally178 layer=physical node=wally178 target=wally178|bandwidth_hypervisor,25.05966586976898,2.0986692364946014,0,0,0,0,0,0,0,0,0,1.86133671936e+12,0.6744853589531978,1.37,1.46,1.51,4.796350464e+09,69.17985802369945,1.162092544e+10,1.0996273183329728e+07,0,0,25140.318398935022,5.437056947521799e+06,12586.144394459629,5.559213502077534e+06,12554.168115361277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2132.4289994868072,0,0,2132.4299694827073,0,0,0,2049.451286061024,0,0,0,0,0,0,220,0,0,0,27.992382041181784,0,100.97250871991338,0,0,0,0,2105.422981461432,0,69,0,0,0,0,0,0,0,0,0,0,0,208
