time,tags,cpu,cpu-jiffies,disk-io/all/io,disk-io/all/ioBytes,disk-io/all/ioTime,disk-io/all/read,disk-io/all/readBytes,disk-io/all/readTime,disk-io/all/write,disk-io/all/writeBytes,disk-io/all/writeTime,disk-usage/all/free,disk-usage/all/used,load/1,load/15,load/5,mem/free,mem/percent,mem/used,net-io/bytes,net-io/dropped,net-io/errors,net-io/packets,net-io/rx_bytes,net-io/rx_packets,net-io/tx_bytes,net-io/tx_packets,net-proto/icmp/InAddrMaskReps,net-proto/icmp/InAddrMasks,net-proto/icmp/InCsumErrors,net-proto/icmp/InDestUnreachs,net-proto/icmp/InEchoReps,net-proto/icmp/InEchos,net-proto/icmp/InErrors,net-proto/icmp/InMsgs,net-proto/icmp/InParmProbs,net-proto/icmp/InRedirects,net-proto/icmp/InSrcQuenchs,net-proto/icmp/InTimeExcds,net-proto/icmp/InTimestampReps,net-proto/icmp/InTimestamps,net-proto/icmp/OutAddrMaskReps,net-proto/icmp/OutAddrMasks,net-proto/icmp/OutDestUnreachs,net-proto/icmp/OutEchoReps,net-proto/icmp/OutEchos,net-proto/icmp/OutErrors,net-proto/icmp/OutMsgs,net-proto/icmp/OutParmProbs,net-proto/icmp/OutRedirects,net-proto/icmp/OutSrcQuenchs,net-proto/icmp/OutTimeExcds,net-proto/icmp/OutTimestampReps,net-proto/icmp/OutTimestamps,net-proto/icmpmsg/InType13,net-proto/icmpmsg/InType3,net-proto/icmpmsg/InType5,net-proto/icmpmsg/InType8,net-proto/icmpmsg/OutType0,net-proto/icmpmsg/OutType14,net-proto/icmpmsg/OutType3,net-proto/ip/ForwDatagrams,net-proto/ip/FragCreates,net-proto/ip/FragFails,net-proto/ip/FragOKs,net-proto/ip/InAddrErrors,net-proto/ip/InDelivers,net-proto/ip/InDiscards,net-proto/ip/InHdrErrors,net-proto/ip/InReceives,net-proto/ip/InUnknownProtos,net-proto/ip/OutDiscards,net-proto/ip/OutNoRoutes,net-proto/ip/OutRequests,net-proto/ip/ReasmFails,net-proto/ip/ReasmOKs,net-proto/ip/ReasmReqds,net-proto/ip/ReasmTimeout,net-proto/tcp/ActiveOpens,net-proto/tcp/AttemptFails,net-proto/tcp/CurrEstab,net-proto/tcp/EstabResets,net-proto/tcp/InCsumErrors,net-proto/tcp/InErrs,net-proto/tcp/InSegs,net-proto/tcp/OutRsts,net-proto/tcp/OutSegs,net-proto/tcp/PassiveOpens,net-proto/tcp/RetransSegs,net-proto/udp/IgnoredMulti,net-proto/udp/InCsumErrors,net-proto/udp/InDatagrams,net-proto/udp/InErrors,net-proto/udp/NoPorts,net-proto/udp/OutDatagrams,net-proto/udp/RcvbufErrors,net-proto/udp/SndbufErrors,net-proto/udplite/IgnoredMulti,net-proto/udplite/InCsumErrors,net-proto/udplite/InDatagrams,net-proto/udplite/InErrors,net-proto/udplite/NoPorts,net-proto/udplite/OutDatagrams,net-proto/udplite/RcvbufErrors,net-proto/udplite/SndbufErrors,num_procs
2019-11-06 15:05:43.771894422,RCA=wally193 anomaly=download_hypervisor component=wally193 group=wally193 host=wally193 index=1 injected=wally193 layer=physical node=wally193 target=wally193|download_hypervisor,56.70000031858683,5.668336692680422,6.665055989236308,111930.2857528821,0,0,0,0,6.665055931486446,111930.28612589292,0,1.86222434304e+12,0.6295425229306456,4.07,3.78,3.74,8.399712256e+09,47.41445713389794,7.964790784e+09,2.2189874047743732e+08,0,0,222718.99999004026,1.2487019082428269e+08,122835.54384918854,9.702848388404071e+07,99883.43226701843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921.888675489214,0,460.94432530061295,0,26504.796126748995,0,0,26504.799518953285,0,0,0,19251.67179907098,0,219.9734357879208,439.94685793913584,0,0.9998772250755329,0,150,0,0,0,1311.8370081872438,0,1311.8381008126264,0.9998755694848799,0,0,0,25197.924618498237,0,1057,1.9997552939441907,0,0,0,0,0,0,0,0,0,0,215
2019-11-06 15:05:44.271925203,RCA=wally193 anomaly=download_hypervisor component=wally193 group=wally193 host=wally193 index=1 injected=wally193 layer=physical node=wally193 target=wally193|download_hypervisor,56.534954020451934,5.579148341217574,0,0,0,0,0,0,0,0,0,1.86222434304e+12,0.6295425229306456,4.07,3.78,3.74,8.398966784e+09,47.41889493410476,7.965536256e+09,2.6562537186228514e+08,0,0,243709.369297918,1.5802778862774953e+08,141112.1176156286,1.0759757577838771e+08,102597.24403034737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903.3039699655906,0,451.65189111153336,0,30966.121652000682,0,0,30966.14089809942,0,0,0,21215.63951715507,0,217.83214138366756,436.6634791764839,0,0.999232175008241,0,150,0,0,0,3555.2671905449797,0,3520.2947485337104,0.9992321220896021,0,0,0,27410.917441068555,0,1057,1.9984643919520102,0,0,0,0,0,0,0,0,0,0,217
2019-11-06 15:05:44.772025045,RCA=wally193 anomaly=download_hypervisor component=wally193 group=wally193 host=wally193 index=1 injected=wally193 layer=physical node=wally193 target=wally193|download_hypervisor,58.29415697310274,5.785788036696732,0,0,0,0,0,0,0,0,0,1.862224338944e+12,0.6295427303224272,4.14,3.79,3.76,8.398594048e+09,47.42111383420817,7.965908992e+09,3.327956655378105e+08,0,0,284235.3349000982,2.1534283611593056e+08,177053.31385263824,1.1745288412546034e+08,107182.05092674051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909.5596921581829,0,454.77992062691067,0,33382.84540683357,0,0,33382.84186996389,0,0,0,22729.001663385105,0,241.88288683703144,484.765425404005,0,0,0,150,0,0,0,4545.809551663626,0,4479.838455546007,0,0,0,0,28832.054338965005,0,1057,0,0,0,0,0,0,0,0,0,0,0,217
2019-11-06 15:05:45.272074556,RCA=wally193 anomaly=download_hypervisor component=wally193 group=wally193 host=wally193 index=1 injected=wally193 layer=physical node=wally193 target=wally193|download_hypervisor,62.834489792421,6.334706228944286,0,0,0,0,0,0,0,0,0,1.862224338944e+12,0.6295427303224272,4.14,3.79,3.76,8.3991552e+09,47.41777329229425,7.96534784e+09,3.07849861416865e+08,0,0,280563.6007815424,2.0433461464770472e+08,175346.37627412894,1.0351523425706816e+08,105217.22468280424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941.9110280262037,0,470.95532753240695,0,31582.00280476982,0,0,31582.015278482075,0,0,0,22763.83718506521,0,262.9751664661051,525.9501578073452,0,0,0,150,0,0,0,4552.56987775052,0,4470.577981909086,0,0,0,0,27029.44806871949,0,1057,0,0,0,0,0,0,0,0,0,0,0,217
2019-11-06 15:05:45.772161939,RCA=wally193 anomaly=download_hypervisor component=wally193 group=wally193 host=wally193 index=1 injected=wally193 layer=physical node=wally193 target=wally193|download_hypervisor,62.58637712571905,6.33880623148983,0,0,0,0,0,0,0,0,0,1.862224338944e+12,0.6295427303224272,4.14,3.79,3.76,8.399310848e+09,47.41684671862469,7.965192192e+09,3.097635387685877e+08,0,0,279485.338415626,2.0517221850399968e+08,174800.5622033064,1.0459130074804941e+08,104684.76414695015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868.1856649771981,0,434.0927821230654,0,31639.41634554155,0,0,31639.43094498021,0,0,0,22646.82786586233,0,239.38454949810875,478.7690054566591,0,0,0,150,0,0,0,4594.985063707988,0,4527.636927186464,0,0,0,0,27046.46185795605,0,1057,0,0,0,0,0,0,0,0,0,0,0,217
2019-11-06 15:05:46.272233668,RCA=wally193 anomaly=download_hypervisor component=wally193 group=wally193 host=wally193 index=1 injected=wally193 layer=physical node=wally193 target=wally193|download_hypervisor,60.38744166882207,6.025318472944146,0,0,0,0,0,0,0,0,0,1.862224338944e+12,0.6295427303224272,4.14,3.79,3.76,8.399347712e+09,47.41662726696611,7.965155328e+09,3.035653420523343e+08,0,0,272312.2846744315,2.0247044812141463e+08,171311.42224327158,1.0109489120028217e+08,101000.87009850379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759.8994653007406,0,379.9457764184642,0,30819.59939268112,0,0,30819.91964810472,0,0,0,22226.1594229503,0,212.6385620861567,425.272659966451,0,0,0,150,0,0,0,4635.394240500126,0,4554.736447267883,0,0,0,0,26184.55758603965,0,1057,0,0,0,0,0,0,0,0,0,0,0,217
2019-11-06 15:05:46.772348835,RCA=wally193 anomaly=download_hypervisor component=wally193 group=wally193 host=wally193 index=1 injected=wally193 layer=physical node=wally193 target=wally193|download_hypervisor,57.418699324883505,5.647023599193362,0,0,0,0,0,0,0,0,0,1.862224318464e+12,0.629543767281335,4.14,3.79,3.76,8.399888384e+09,47.413408642640285,7.964614656e+09,3.0441539954212326e+08,0,0,274404.1247947891,2.028184589956899e+08,172227.82874795533,1.015969670337311e+08,102176.31961472637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795.7293207356121,0,397.8645486058853,0,30905.497848248695,0,0,30905.49012450081,0,0,0,22291.430900055024,0,234.92010883922617,469.8401378327826,0,0,0,150,0,0,0,4714.394522374194,0,4629.42443094802,0,0,0.999659820761294,0,26187.09104687749,0,1057,0,0,0,0,0,0,0,0,0,0,0,217
2019-11-06 15:05:47.27234277,RCA=wally193 anomaly=download_hypervisor component=wally193 group=wally193 host=wally193 index=1 injected=wally193 layer=physical node=wally193 target=wally193|download_hypervisor,56.15305091830663,5.429357858689315,8.997667993407138,77803.82717929661,59.984444413983454,0,0,0,8.997668182309209,77803.82982394112,59.98444483376571,1.862224318464e+12,0.629543767281335,4.14,3.79,3.76,8.39999488e+09,47.41277467118217,7.96450816e+09,3.0878623035301626e+08,0,0,280628.8490692267,2.0467770576766908e+08,175153.1826702205,1.0410853386683568e+08,105475.64771766376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143.0322026352542,0,571.5249518891394,0,31564.76538715518,0,0,31564.277840201874,0,0,0,22962.912951200007,0,317.73092480036894,635.4717647310391,0,0,0,150,0,0,0,4678.030331055764,0,4637.068215948493,0,0,0.9991532026734362,0,26885.216714570008,0,1057,0.9991529770560774,0,0,0,0,0,0,0,0,0,0,217
2019-11-06 15:05:47.772457124,RCA=wally193 anomaly=download_hypervisor component=wally193 group=wally193 host=wally193 index=1 injected=wally193 layer=physical node=wally193 target=wally193|download_hypervisor,56.175854946585524,5.366015814856683,8.998980217563785,77815.17661493881,59.993183574482266,0,0,0,8.998980577482222,77815.17902693588,59.99319611163578,1.862224318464e+12,0.629543767281335,4.14,3.79,3.76,8.399409152e+09,47.416261514201814,7.965093888e+09,3.0839733789576656e+08,0,0,279168.50736881583,2.0455756867442176e+08,174538.80317605572,1.038397565762646e+08,104629.69718105615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999.9336404038881,0,499.9670486717232,0,31383.934372207492,0,0,31383.91830469885,0,0,0,22821.496109049407,0,266.9822211199312,533.9647166794513,0,0,0,150,0,0,0,4607.695094992479,0,4543.698621014167,0,0,0,0,26776.211643600538,0,1057,0.9999333984360637,0,0,0,0,0,0,0,0,0,0,217
2019-11-06 15:05:48.272565257,RCA=wally193 anomaly=download_hypervisor component=wally193 group=wally193 host=wally193 index=1 injected=wally193 layer=physical node=wally193 target=wally193|download_hypervisor,55.17241362007235,5.118426908835347,0,0,0,0,0,0,0,0,0,1.862224318464e+12,0.629543767281335,4.14,3.79,3.76,8.399720448e+09,47.4144083668627,7.964782592e+09,3.0779184625944895e+08,0,0,277512.2808408683,2.0433928502343696e+08,173787.91528539933,1.0345257958781834e+08,103724.39285989922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886.618477770242,0,443.30932665559715,0,31243.645739052386,0,0,31243.632867370892,0,0,0,22757.436414825705,0,245.3199717357528,490.6400262216162,0,0,0,150,0,0,0,4659.10221390891,0,4571.104244825597,0,0,0,0,26584.659760962808,0,1057,0.6666330470288389,0,0,0,0,0,0,0,0,0,0,217
