time,tags,cpu,cpu-jiffies,disk-io/all/io,disk-io/all/ioBytes,disk-io/all/ioTime,disk-io/all/read,disk-io/all/readBytes,disk-io/all/readTime,disk-io/all/write,disk-io/all/writeBytes,disk-io/all/writeTime,disk-usage/all/free,disk-usage/all/used,load/1,load/15,load/5,mem/free,mem/percent,mem/used,net-io/bytes,net-io/dropped,net-io/errors,net-io/packets,net-io/rx_bytes,net-io/rx_packets,net-io/tx_bytes,net-io/tx_packets,net-proto/icmp/InAddrMaskReps,net-proto/icmp/InAddrMasks,net-proto/icmp/InCsumErrors,net-proto/icmp/InDestUnreachs,net-proto/icmp/InEchoReps,net-proto/icmp/InEchos,net-proto/icmp/InErrors,net-proto/icmp/InMsgs,net-proto/icmp/InParmProbs,net-proto/icmp/InRedirects,net-proto/icmp/InSrcQuenchs,net-proto/icmp/InTimeExcds,net-proto/icmp/InTimestampReps,net-proto/icmp/InTimestamps,net-proto/icmp/OutAddrMaskReps,net-proto/icmp/OutAddrMasks,net-proto/icmp/OutDestUnreachs,net-proto/icmp/OutEchoReps,net-proto/icmp/OutEchos,net-proto/icmp/OutErrors,net-proto/icmp/OutMsgs,net-proto/icmp/OutParmProbs,net-proto/icmp/OutRedirects,net-proto/icmp/OutSrcQuenchs,net-proto/icmp/OutTimeExcds,net-proto/icmp/OutTimestampReps,net-proto/icmp/OutTimestamps,net-proto/icmpmsg/InType0,net-proto/icmpmsg/InType13,net-proto/icmpmsg/InType3,net-proto/icmpmsg/InType8,net-proto/icmpmsg/OutType0,net-proto/icmpmsg/OutType14,net-proto/icmpmsg/OutType3,net-proto/icmpmsg/OutType8,net-proto/ip/ForwDatagrams,net-proto/ip/FragCreates,net-proto/ip/FragFails,net-proto/ip/FragOKs,net-proto/ip/InAddrErrors,net-proto/ip/InDelivers,net-proto/ip/InDiscards,net-proto/ip/InHdrErrors,net-proto/ip/InReceives,net-proto/ip/InUnknownProtos,net-proto/ip/OutDiscards,net-proto/ip/OutNoRoutes,net-proto/ip/OutRequests,net-proto/ip/ReasmFails,net-proto/ip/ReasmOKs,net-proto/ip/ReasmReqds,net-proto/ip/ReasmTimeout,net-proto/tcp/ActiveOpens,net-proto/tcp/AttemptFails,net-proto/tcp/CurrEstab,net-proto/tcp/EstabResets,net-proto/tcp/InCsumErrors,net-proto/tcp/InErrs,net-proto/tcp/InSegs,net-proto/tcp/OutRsts,net-proto/tcp/OutSegs,net-proto/tcp/PassiveOpens,net-proto/tcp/RetransSegs,net-proto/udp/IgnoredMulti,net-proto/udp/InCsumErrors,net-proto/udp/InDatagrams,net-proto/udp/InErrors,net-proto/udp/NoPorts,net-proto/udp/OutDatagrams,net-proto/udp/RcvbufErrors,net-proto/udp/SndbufErrors,net-proto/udplite/IgnoredMulti,net-proto/udplite/InCsumErrors,net-proto/udplite/InDatagrams,net-proto/udplite/InErrors,net-proto/udplite/NoPorts,net-proto/udplite/OutDatagrams,net-proto/udplite/RcvbufErrors,net-proto/udplite/SndbufErrors,num_procs
2019-11-06 08:57:46.863903441,RCA=wally178 anomaly=mem_leak_hypervisor component=wally178 group=wally178 host=wally178 index=1 injected=wally178 layer=physical node=wally178 target=wally178|mem_leak_hypervisor,49.813432831314955,5.339279442733074,0,0,0,0,0,0,0,0,0,1.861996355584e+12,0.6410861568839521,4.1,3.82,4,5.100163072e+09,67.36181231067611,1.131552768e+10,3.187082007526237e+08,0,0,281058.36109509657,1.483860357918853e+08,137643.80440374167,1.703220750184681e+08,143414.5151892911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27961.510751487338,0,0,27961.516818162476,0,0,0,22692.356469860486,0,0,0,0,0,0,221,0,0,0,64.98938755795874,0,101.98335580641562,0.9998368186325046,0,0,0,27896.45257136989,0,69,0,0,0,0,0,0,0,0,0,0,0,208
2019-11-06 08:57:47.363974024,RCA=wally178 anomaly=mem_leak_hypervisor component=wally178 group=wally178 host=wally178 index=1 injected=wally178 layer=physical node=wally178 target=wally178|mem_leak_hypervisor,48.67924528613543,5.159265552901228,0,0,0,0,0,0,0,0,0,1.861996351488e+12,0.6410863642757336,4.1,3.82,4,5.100576768e+09,67.35934956098438,1.1315113984e+10,2.9175602691044015e+08,0,0,272741.1901058216,1.3546379531234902e+08,133415.61744547088,1.562922659671285e+08,139325.58959939983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26634.83089073288,0,0,26634.79253831507,0,0,0,22317.016600663494,0,0,0,0,0,0,221,0,0,0,99.99600995921061,0,127.9947828046581,0,0,0,0,26531.90006701892,0,69,0,0,0,0,0,0,0,0,0,0,0,209
2019-11-06 08:57:47.864077838,RCA=wally178 anomaly=mem_leak_hypervisor component=wally178 group=wally178 host=wally178 index=1 injected=wally178 layer=physical node=wally178 target=wally178|mem_leak_hypervisor,49.248120308715166,5.236834757796045,0,0,0,0,0,0,0,0,0,1.861996351488e+12,0.6410863642757336,4.1,3.82,4,5.101297664e+09,67.3550580367691,1.1314393088e+10,2.902545407325282e+08,0,0,272360.665932233,1.3508001120063874e+08,133534.13789467202,1.5517450520099896e+08,138826.53206593078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26888.00094761906,0,0,26887.996377339416,0,0,0,22275.68165853037,0,0,0,0,0,0,221,0,0,0,142.97879781705052,0,138.97939005135234,0,0,0,0,26745.039059715255,0,69,0,0,0,0,0,0,0,0,0,0,0,209
2019-11-06 08:57:48.364206474,RCA=wally178 anomaly=mem_leak_hypervisor component=wally178 group=wally178 host=wally178 index=1 injected=wally178 layer=physical node=wally178 target=wally178|mem_leak_hypervisor,49.05482041060407,5.1883232268013755,0,0,0,0,0,0,0,0,0,1.861996351488e+12,0.6410863642757336,4.1,3.82,4,5.097168896e+09,67.37963676636576,1.1318521856e+10,2.9529185920058787e+08,0,0,271916.0765947666,1.374340693502346e+08,133201.5810648148,1.5785774533904022e+08,138714.4716969483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26721.497641419402,0,0,26721.504106934008,0,0,0,22226.254164933074,0,0,0,0,0,0,221,0,0,0,153.97394930149164,0,162.97240746763646,0,0,0,0,26561.50523552254,0,69,0,0,0,0,0,0,0,0,0,0,0,209
2019-11-06 08:57:48.864286291,RCA=wally178 anomaly=mem_leak_hypervisor component=wally178 group=wally178 host=wally178 index=1 injected=wally178 layer=physical node=wally178 target=wally178|mem_leak_hypervisor,48.643533118060795,5.138761715369571,0,0,0,0,0,0,0,0,0,1.861996351488e+12,0.6410863642757336,4.1,3.82,4,5.097209856e+09,67.37939292976263,1.1318480896e+10,2.903611439991922e+08,0,0,266188.0357831835,1.3487562529300737e+08,130115.02916652002,1.5548554899985483e+08,136073.01590688317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25890.756332823123,0,0,25890.77440517551,0,0,0,21826.45100073294,0,0,0,0,0,0,220,0,0,0,187.73734831568711,0,194.72750125565534,0,0,0,0,25703.02542873733,0,69,0,0,0,0,0,0,0,0,0,0,0,209
2019-11-06 08:57:49.364346935,RCA=wally178 anomaly=mem_leak_hypervisor component=wally178 group=wally178 host=wally178 index=1 injected=wally178 layer=physical node=wally178 target=wally178|mem_leak_hypervisor,48.091603060286666,5.038927197320162,0,0,0,0,0,0,0,0,0,1.861996351488e+12,0.6410863642757336,4.1,3.82,4,5.096321024e+09,67.3846841840508,1.1319369728e+10,3.0901517526163805e+08,0,0,268212.87185820047,1.427063950532093e+08,130343.46115767657,1.6630881688800016e+08,137869.44385316604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26226.62434495394,0,0,26226.652220297383,0,0,0,21812.19604219878,0,0,0,0,0,0,220,0,0,0,227.96974978202243,0,225.97023045586954,0,0,0,0,26000.5927003284,0,69,0,0,0,0,0,0,0,0,0,0,0,209
2019-11-06 08:57:49.864389078,RCA=wally178 anomaly=mem_leak_hypervisor component=wally178 group=wally178 host=wally178 index=1 injected=wally178 layer=physical node=wally178 target=wally178|mem_leak_hypervisor,47.1264367921705,4.919275789994289,2.666415908026623,19112.869763844865,10.665664314644818,0,0,0,2.666415877810085,19112.86955999342,10.665664293315494,1.861996347392e+12,0.6410865716675153,4.1,3.82,4,5.09673472e+09,67.38219705069875,1.1318951936e+10,3.0178730839684427e+08,0,0,262901.27948881796,1.3884818882554486e+08,127388.63755437732,1.6293910594164902e+08,135512.63191156863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25528.272429735203,0,0,25528.264176801524,0,0,0,21518.1928535046,0,0,0,0,0,0,220,0,0,0,214.6355243398981,0,227.9669282298099,0,0,0,0,25313.659696907704,0,69,0,0,0,0,0,0,0,0,0,0,0,209
2019-11-06 08:57:50.364513747,RCA=wally178 anomaly=mem_leak_hypervisor component=wally178 group=wally178 host=wally178 index=1 injected=wally178 layer=physical node=wally178 target=wally178|mem_leak_hypervisor,46.737044147280045,4.869745151738733,3.996908403340741,28649.835713546436,15.987629475767347,0,0,0,3.9969085351367792,28649.837230814006,15.987630018926497,1.861996347392e+12,0.6410865716675153,4.1,3.82,4,5.092352e+09,67.4082875672349,1.1323334656e+10,3.1483190408740526e+08,0,0,268777.26627224934,1.458372905858212e+08,130972.40654682617,1.6899462228027096e+08,137804.8649423435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26701.540367636102,0,0,26701.534389505836,0,0,0,21652.085616682343,0,0,0,0,0,0,220,0,0,0,220.88872730362078,0,260.8686346425217,0,0,0,0,26478.665979300808,0,69,0,0,0,0,0,0,0,0,0,0,0,209
2019-11-06 08:57:50.864595504,RCA=wally178 anomaly=mem_leak_hypervisor component=wally178 group=wally178 host=wally178 index=1 injected=wally178 layer=physical node=wally178 target=wally178|mem_leak_hypervisor,47.64649375454285,4.957214862219309,0,0,0,0,0,0,0,0,0,1.861996347392e+12,0.6410865716675153,4.1,3.82,4,5.092958208e+09,67.40470316916871,1.1322732544e+10,2.915967298678471e+08,0,0,262080.51155397805,1.3563338372604966e+08,128343.39504427683,1.559632846899032e+08,133737.08770258355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27125.467674839747,0,0,27125.473913116362,0,0,0,21923.953223574954,0,0,0,0,0,0,220,0,0,0,234.97746730572769,0,252.97584131310626,0,0,0,0,26890.443848188675,0,69,0,0,0,0,0,0,0,0,0,0,0,209
2019-11-06 08:57:51.364632654,RCA=wally178 anomaly=mem_leak_hypervisor component=wally178 group=wally178 host=wally178 index=1 injected=wally178 layer=physical node=wally178 target=wally178|mem_leak_hypervisor,47.79693486150838,4.989072191514883,0,0,0,0,0,0,0,0,0,1.861996347392e+12,0.6410865716675153,4.1,3.82,4,5.091803136e+09,67.4115793613773,1.1323887616e+10,3.3452018404610944e+08,0,0,276660.34907658614,1.552685317180661e+08,135302.02626005583,1.7925172197621506e+08,141358.3586976101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28635.589917205816,0,0,28635.600606432683,0,0,0,22258.423934740826,0,0,0,0,0,0,220,0,0,0,186.64220247776282,0,197.3074443604822,0,0,0,0,28448.931075459055,0,69,0,0,0,0,0,0,0,0,0,0,0,209
2019-11-06 08:57:51.864705277,RCA=wally178 anomaly=mem_leak_hypervisor component=wally178 group=wally178 host=wally178 index=1 injected=wally178 layer=physical node=wally178 target=wally178|mem_leak_hypervisor,51.49068323123647,5.526368574370601,0,0,0,0,0,0,0,0,0,1.861996343296e+12,0.6410867790592968,4.17,3.83,4.01,5.092265984e+09,67.40879962410149,1.1323420672e+10,3.548509395237673e+08,0,0,285686.44712099276,1.6503228768810135e+08,140101.23734386978,1.898187029332787e+08,145585.23269911596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29997.864610962253,0,0,29997.898967783847,0,0,0,22710.272639441453,0,0,0,0,0,0,220,0,0,0,56.965606445452494,0,61.96256599734093,0,0,0,0,29940.892706199855,0,69,0,0,0,0,0,0,0,0,0,0,0,209
2019-11-06 08:57:52.364820004,RCA=wally178 anomaly=mem_leak_hypervisor component=wally178 group=wally178 host=wally178 index=1 injected=wally178 layer=physical node=wally178 target=wally178|mem_leak_hypervisor,55.38089479753554,6.107978954449295,0,0,0,0,0,0,0,0,0,1.861996314624e+12,0.6410882308017677,4.17,3.83,4.01,5.088055296e+09,67.43386602690444,1.132763136e+10,3.127013374666395e+08,0,0,274286.3012981999,1.4578434406223544e+08,134965.31896523037,1.6691690519517502e+08,139320.89633294693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28517.504443564507,0,0,28517.505355980844,0,0,0,22471.457913974853,0,0,0,0,0,0,220,0,0,0,80.98716385847707,0,87.98609494151373,0,0,0,0,28436.51473696705,0,69,0,0,0,0,0,0,0,0,0,0,0,209
2019-11-06 08:57:52.86485624,RCA=wally178 anomaly=mem_leak_hypervisor component=wally178 group=wally178 host=wally178 index=1 injected=wally178 layer=physical node=wally178 target=wally178|mem_leak_hypervisor,58.944543818682725,6.585146667735107,0,0,0,0,0,0,0,0,0,1.861996314624e+12,0.6410882308017677,4.17,3.83,4.01,5.088944128e+09,67.42859915627658,1.1326746624e+10,3.1995535870641124e+08,0,0,274001.87577362417,1.4766156606784803e+08,133659.45039413968,1.722938136538569e+08,140342.43077181466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28195.08661142675,0,0,28195.078887321164,0,0,0,22475.415358993512,0,0,0,0,0,0,220,0,0,0,55.99035177990819,0,62.65588747309757,0,0,0,0,28139.089091134243,0,69,0,0,0,0,0,0,0,0,0,0,0,209
