time,tags,cpu,cpu-jiffies,disk-io/all/io,disk-io/all/ioBytes,disk-io/all/ioTime,disk-io/all/read,disk-io/all/readBytes,disk-io/all/readTime,disk-io/all/write,disk-io/all/writeBytes,disk-io/all/writeTime,disk-usage/all/free,disk-usage/all/used,load/1,load/15,load/5,mem/free,mem/percent,mem/used,net-io/bytes,net-io/dropped,net-io/errors,net-io/packets,net-io/rx_bytes,net-io/rx_packets,net-io/tx_bytes,net-io/tx_packets,net-proto/icmp/InAddrMaskReps,net-proto/icmp/InAddrMasks,net-proto/icmp/InCsumErrors,net-proto/icmp/InDestUnreachs,net-proto/icmp/InEchoReps,net-proto/icmp/InEchos,net-proto/icmp/InErrors,net-proto/icmp/InMsgs,net-proto/icmp/InParmProbs,net-proto/icmp/InRedirects,net-proto/icmp/InSrcQuenchs,net-proto/icmp/InTimeExcds,net-proto/icmp/InTimestampReps,net-proto/icmp/InTimestamps,net-proto/icmp/OutAddrMaskReps,net-proto/icmp/OutAddrMasks,net-proto/icmp/OutDestUnreachs,net-proto/icmp/OutEchoReps,net-proto/icmp/OutEchos,net-proto/icmp/OutErrors,net-proto/icmp/OutMsgs,net-proto/icmp/OutParmProbs,net-proto/icmp/OutRedirects,net-proto/icmp/OutSrcQuenchs,net-proto/icmp/OutTimeExcds,net-proto/icmp/OutTimestampReps,net-proto/icmp/OutTimestamps,net-proto/icmpmsg/InType13,net-proto/icmpmsg/InType3,net-proto/icmpmsg/InType5,net-proto/icmpmsg/InType8,net-proto/icmpmsg/OutType0,net-proto/icmpmsg/OutType14,net-proto/icmpmsg/OutType3,net-proto/ip/ForwDatagrams,net-proto/ip/FragCreates,net-proto/ip/FragFails,net-proto/ip/FragOKs,net-proto/ip/InAddrErrors,net-proto/ip/InDelivers,net-proto/ip/InDiscards,net-proto/ip/InHdrErrors,net-proto/ip/InReceives,net-proto/ip/InUnknownProtos,net-proto/ip/OutDiscards,net-proto/ip/OutNoRoutes,net-proto/ip/OutRequests,net-proto/ip/ReasmFails,net-proto/ip/ReasmOKs,net-proto/ip/ReasmReqds,net-proto/ip/ReasmTimeout,net-proto/tcp/ActiveOpens,net-proto/tcp/AttemptFails,net-proto/tcp/CurrEstab,net-proto/tcp/EstabResets,net-proto/tcp/InCsumErrors,net-proto/tcp/InErrs,net-proto/tcp/InSegs,net-proto/tcp/OutRsts,net-proto/tcp/OutSegs,net-proto/tcp/PassiveOpens,net-proto/tcp/RetransSegs,net-proto/udp/IgnoredMulti,net-proto/udp/InCsumErrors,net-proto/udp/InDatagrams,net-proto/udp/InErrors,net-proto/udp/NoPorts,net-proto/udp/OutDatagrams,net-proto/udp/RcvbufErrors,net-proto/udp/SndbufErrors,net-proto/udplite/IgnoredMulti,net-proto/udplite/InCsumErrors,net-proto/udplite/InDatagrams,net-proto/udplite/InErrors,net-proto/udplite/NoPorts,net-proto/udplite/OutDatagrams,net-proto/udplite/RcvbufErrors,net-proto/udplite/SndbufErrors,num_procs
2019-11-05 20:10:04.588897447,RCA=wally193 anomaly=stress_cpu_hypervisor component=wally193 group=wally193 host=wally193 index=0 injected=wally193 layer=physical node=wally193 target=wally193|stress_cpu_hypervisor,63.42975202540493,6.136454136483637,0,0,0,0,0,0,0,0,0,1.862526803968e+12,0.6142280916050495,3.78,3.65,3.64,9.011171328e+09,43.767902073842556,7.352233984e+09,2.5563942733153966e+08,0,0,241416.604531235,1.2787925841287777e+08,125149.05829949009,1.277601684093513e+08,116267.53492626929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1809.5167477257548,0,904.7585444522492,0,31484.660326975547,0,0,31484.65942498846,0,0,0,20518.295816667327,0,488.3563936643741,976.7128777800074,0,0,0,146,0,0,0,26.649659404794154,0,44.63818497515537,0.6662417736404945,0,0,0,31457.33957258999,0,1057,0,0,0,0,0,0,0,0,0,0,0,227
2019-11-05 20:10:05.088967536,RCA=wally193 anomaly=stress_cpu_hypervisor component=wally193 group=wally193 host=wally193 index=0 injected=wally193 layer=physical node=wally193 target=wally193|stress_cpu_hypervisor,68.2194619511836,6.583023596376209,0,0,0,0,0,0,0,0,0,1.862526803968e+12,0.6142280916050495,3.78,3.65,3.64,9.009246208e+09,43.77809438420767,7.353946112e+09,2.3755543563676047e+08,0,0,231791.29698526638,1.1878362251526743e+08,119910.79630448867,1.1877180208305024e+08,111880.50185496044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1812.7096262779535,0,906.3548701987156,0,29884.729364566392,0,0,29884.721868836335,0,0,0,19885.84368548302,0,472.66355855168644,945.3271218266465,0,0,0,146,0,0,0,29.978648397188017,0,61.955874654335936,0.9992882739148048,0,0,0,29854.747987209546,0,1057,0,0,0,0,0,0,0,0,0,0,0,229
2019-11-05 20:10:05.589044639,RCA=wally193 anomaly=stress_cpu_hypervisor component=wally193 group=wally193 host=wally193 index=0 injected=wally193 layer=physical node=wally193 target=wally193|stress_cpu_hypervisor,69.57123080209006,6.702124521056282,0,0,0,0,0,0,0,0,0,1.862526803968e+12,0.6142280916050495,3.96,3.66,3.68,9.009188864e+09,43.77843575345435,7.354003456e+09,2.4056788259071073e+08,0,0,234740.18910955568,1.2026184228043804e+08,121416.53794552805,1.203060290039537e+08,113323.64714964396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1843.5894289469948,0,921.7950253564517,0,30256.60607953761,0,0,30256.593878757467,0,0,0,20121.524181575398,0,472.5615730683499,945.1231788936851,0,0,0,146,0,0,0,23.32815692417659,0,50.65542430310769,0.6665186399862579,0,0,0,30233.28488509417,0,1057,0,0,0,0,0,0,0,0,0,0,0,229
2019-11-05 20:10:06.089129094,RCA=wally193 anomaly=stress_cpu_hypervisor component=wally193 group=wally193 host=wally193 index=0 injected=wally193 layer=physical node=wally193 target=wally193|stress_cpu_hypervisor,71.99725468246952,6.996560540252664,0,0,0,0,0,0,0,0,0,1.862526803968e+12,0.6142280916050495,3.96,3.66,3.68,9.009463296e+09,43.776802057773814,7.353729024e+09,2.411536650611634e+08,0,0,240106.80752232316,1.2056324056287971e+08,124002.1112136543,1.2059042779379633e+08,116104.69777552532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2102.8690131345866,0,1051.4342710233516,0,30707.61144471725,0,0,30707.620657886968,0,0,0,20697.322415008493,0,546.7191484246006,1093.4383675650038,0,0,0,146,0,0,0,18.668453038492284,0,28.66941046303856,0,0,0,0,30689.603641275404,0,1057,0,0,0,0,0,0,0,0,0,0,0,229
2019-11-05 20:10:06.589147508,RCA=wally193 anomaly=stress_cpu_hypervisor component=wally193 group=wally193 host=wally193 index=0 injected=wally193 layer=physical node=wally193 target=wally193|stress_cpu_hypervisor,72.80163590696587,7.123542599273305,0,0,0,0,0,0,0,0,0,1.862526799872e+12,0.6142282989968311,3.96,3.66,3.68,9.008521216e+09,43.782410266826396,7.354671104e+09,2.4148610875874236e+08,0,0,243325.1596163969,1.2070194019541624e+08,125413.3778665073,1.2078416035863988e+08,117911.77698210583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2527.893916931776,0,1263.9462961858214,0,30864.681121311005,0,0,30864.701336826554,0,0,0,21138.104822398873,0,676.9712327844342,1353.9424831693725,0,0,0,146,0,0,0,28.998719242565937,0,35.998414809803855,0,0,0,0,30837.65785261728,0,1057,0,0,0,0,0,0,0,0,0,0,0,229
2019-11-05 20:10:07.089194899,RCA=wally193 anomaly=stress_cpu_hypervisor component=wally193 group=wally193 host=wally193 index=0 injected=wally193 layer=physical node=wally193 target=wally193|stress_cpu_hypervisor,72.8294176029563,7.1246891630338345,3.997330818322043,28652.866962127435,11.991992610758004,0,0,0,3.99733098210325,28652.867677971124,11.991992562822043,1.862526799872e+12,0.6142282989968311,3.96,3.66,3.68,9.009307648e+09,43.777728631443374,7.353884672e+09,2.403800678291878e+08,0,0,233972.02822266862,1.2022890651378487e+08,120918.72563213903,1.201511853387755e+08,113053.32965400162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1959.0193854203565,0,979.5098190037269,0,30086.94707915904,0,0,30086.94004233569,0,0,0,20073.952444804658,0,521.7388952481342,1043.4778353433715,0,0,0,146,0,0,0,36.98153079483504,0,61.96904875300268,0,0,0,0,30048.969715691,0,1057,0,0,0,0,0,0,0,0,0,0,0,229
2019-11-05 20:10:07.589303053,RCA=wally193 anomaly=stress_cpu_hypervisor component=wally193 group=wally193 host=wally193 index=0 injected=wally193 layer=physical node=wally193 target=wally193|stress_cpu_hypervisor,69.31937118048914,6.611910714661135,3.995114765674304,28636.985929584713,11.985347301670997,0,0,0,3.9951146778891244,28636.98458529009,11.98534629613123,1.862526799872e+12,0.6142282989968311,3.96,3.66,3.68,9.008222208e+09,43.78419026361265,7.354970112e+09,2.3753930975316203e+08,0,0,232693.73618600515,1.1874433954781297e+08,120171.99295509524,1.1879495152083836e+08,112521.75414247107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643.422732974238,0,821.7104851013632,0,29485.603258348696,0,0,29485.63977817934,0,0,0,19679.077077795726,0,429.84850806045574,859.6973521441511,0,0,0,146,0,0,0,41.985065198562765,0,85.9694305600343,0,0,0,0,29441.573090240654,0,1057,0,0,0,0,0,0,0,0,0,0,0,229
2019-11-05 20:10:08.089383762,RCA=wally193 anomaly=stress_cpu_hypervisor component=wally193 group=wally193 host=wally193 index=0 injected=wally193 layer=physical node=wally193 target=wally193|stress_cpu_hypervisor,69.18238977759476,6.58915574500954,2.6662596194756,19111.749118010976,7.998778730465874,0,0,0,2.6662596461341264,19111.74872309512,7.998778762456105,1.862526799872e+12,0.6142282989968311,3.96,3.66,3.68,9.008992256e+09,43.779606162300105,7.354200064e+09,2.294255039945436e+08,0,0,228319.87347750613,1.1466533005543914e+08,117688.09260108374,1.1476014642218295e+08,110631.75812527305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1964.312109818899,0,982.1557153753262,0,29031.03406551055,0,0,29031.053528609707,0,0,0,19817.970259612157,0,503.5670914285724,1007.1344595812258,0,0,0,146,0,0,0,45.96030224853585,0,72.93701166965909,0,0,0,0,28986.036240064823,0,1057,0,0,0,0,0,0,0,0,0,0,0,229
2019-11-05 20:10:08.589457028,RCA=wally193 anomaly=stress_cpu_hypervisor component=wally193 group=wally193 host=wally193 index=0 injected=wally193 layer=physical node=wally193 target=wally193|stress_cpu_hypervisor,68.76750685562982,6.548570995676606,0,0,0,0,0,0,0,0,0,1.862526795776e+12,0.6142285063886126,3.96,3.66,3.68,9.009012736e+09,43.77948424471201,7.354179584e+09,2.356491469185062e+08,0,0,230686.28556790308,1.1784741958361758e+08,119078.06181416288,1.1780174969115475e+08,111608.2217470817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1899.974373145655,0,949.9882942442384,0,29517.648858049186,0,0,29517.60537913369,0,0,0,19923.740672591404,0,485.99407719018126,971.9876751962785,0,0,0,146,0,0,0,20.999833597318577,0,22.999813839506782,0,0,0,0,29496.707717123227,0,1057,0,0,0,0,0,0,0,0,0,0,0,229
2019-11-05 20:10:09.089599978,RCA=wally193 anomaly=stress_cpu_hypervisor component=wally193 group=wally193 host=wally193 index=0 injected=wally193 layer=physical node=wally193 target=wally193|stress_cpu_hypervisor,68.38755312285048,6.447921579551029,0,0,0,0,0,0,0,0,0,1.86252679168e+12,0.6142287137803941,3.96,3.66,3.68,9.007734784e+09,43.7870675186918,7.35545344e+09,2.6177696747937432e+08,0,0,238473.5065155156,1.3093387050140035e+08,123720.22600385125,1.308431351021914e+08,114753.28586102305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1851.6691166044313,0,925.8355463008054,0,31390.434413197672,0,0,31390.393884921446,0,0,0,20183.068792457583,0,479.9147908089487,959.8292758065985,0,0,0,146,0,0,0,25.328908153561702,0,29.9947571164211,0,0,0,0,31365.81731978893,0,1057,0,0,0,0,0,0,0,0,0,0,0,229
