time,tags,cpu,cpu-jiffies,disk-io/all/io,disk-io/all/ioBytes,disk-io/all/ioTime,disk-io/all/read,disk-io/all/readBytes,disk-io/all/readTime,disk-io/all/write,disk-io/all/writeBytes,disk-io/all/writeTime,disk-usage/all/free,disk-usage/all/used,load/1,load/15,load/5,mem/free,mem/percent,mem/used,net-io/bytes,net-io/dropped,net-io/errors,net-io/packets,net-io/rx_bytes,net-io/rx_packets,net-io/tx_bytes,net-io/tx_packets,net-proto/icmp/InAddrMaskReps,net-proto/icmp/InAddrMasks,net-proto/icmp/InCsumErrors,net-proto/icmp/InDestUnreachs,net-proto/icmp/InEchoReps,net-proto/icmp/InEchos,net-proto/icmp/InErrors,net-proto/icmp/InMsgs,net-proto/icmp/InParmProbs,net-proto/icmp/InRedirects,net-proto/icmp/InSrcQuenchs,net-proto/icmp/InTimeExcds,net-proto/icmp/InTimestampReps,net-proto/icmp/InTimestamps,net-proto/icmp/OutAddrMaskReps,net-proto/icmp/OutAddrMasks,net-proto/icmp/OutDestUnreachs,net-proto/icmp/OutEchoReps,net-proto/icmp/OutEchos,net-proto/icmp/OutErrors,net-proto/icmp/OutMsgs,net-proto/icmp/OutParmProbs,net-proto/icmp/OutRedirects,net-proto/icmp/OutSrcQuenchs,net-proto/icmp/OutTimeExcds,net-proto/icmp/OutTimestampReps,net-proto/icmp/OutTimestamps,net-proto/icmpmsg/InType0,net-proto/icmpmsg/InType13,net-proto/icmpmsg/InType3,net-proto/icmpmsg/InType8,net-proto/icmpmsg/OutType0,net-proto/icmpmsg/OutType14,net-proto/icmpmsg/OutType3,net-proto/icmpmsg/OutType8,net-proto/ip/ForwDatagrams,net-proto/ip/FragCreates,net-proto/ip/FragFails,net-proto/ip/FragOKs,net-proto/ip/InAddrErrors,net-proto/ip/InDelivers,net-proto/ip/InDiscards,net-proto/ip/InHdrErrors,net-proto/ip/InReceives,net-proto/ip/InUnknownProtos,net-proto/ip/OutDiscards,net-proto/ip/OutNoRoutes,net-proto/ip/OutRequests,net-proto/ip/ReasmFails,net-proto/ip/ReasmOKs,net-proto/ip/ReasmReqds,net-proto/ip/ReasmTimeout,net-proto/tcp/ActiveOpens,net-proto/tcp/AttemptFails,net-proto/tcp/CurrEstab,net-proto/tcp/EstabResets,net-proto/tcp/InCsumErrors,net-proto/tcp/InErrs,net-proto/tcp/InSegs,net-proto/tcp/OutRsts,net-proto/tcp/OutSegs,net-proto/tcp/PassiveOpens,net-proto/tcp/RetransSegs,net-proto/udp/IgnoredMulti,net-proto/udp/InCsumErrors,net-proto/udp/InDatagrams,net-proto/udp/InErrors,net-proto/udp/NoPorts,net-proto/udp/OutDatagrams,net-proto/udp/RcvbufErrors,net-proto/udp/SndbufErrors,net-proto/udplite/IgnoredMulti,net-proto/udplite/InCsumErrors,net-proto/udplite/InDatagrams,net-proto/udplite/InErrors,net-proto/udplite/NoPorts,net-proto/udplite/OutDatagrams,net-proto/udplite/RcvbufErrors,net-proto/udplite/SndbufErrors,num_procs
2019-11-07 06:29:25.319356746,RCA=wally178 anomaly=stess_hdd_hypervisor component=wally178 group=wally178 host=wally178 index=3 injected=wally178 layer=physical node=wally178 target=wally178|stess_hdd_hypervisor,64.91575817277145,6.5461076916577055,68.99331710032571,5.773981220384008e+07,531.9484674922116,0,0,0,68.99331730728562,5.773981578336175e+07,14918.554586001826,1.860558712832e+12,0.7138779761176915,2.43,2.38,2.26,4.774207488e+09,69.29090121277012,1.1639578624e+10,2.1233984103013614e+08,0,0,194173.3656855567,1.063355146894386e+08,100970.06594732423,1.0600428309607698e+08,93203.29577557016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489.2626146999316,0,244.6313513173442,0,25700.267922921666,0,0,25700.275698387042,0,0,0,16100.740418683776,0,125.81039379752602,251.62086975126053,0,0,0,221,0,0,0,21.966878779513824,0,30.953343190069347,0.9984945527883536,0,0,0,25678.273389023165,0,69,0,0,0,0,0,0,0,0,0,0,0,214
2019-11-07 06:29:25.819414724,RCA=wally178 anomaly=stess_hdd_hypervisor component=wally178 group=wally178 host=wally178 index=3 injected=wally178 layer=physical node=wally178 target=wally178|stess_hdd_hypervisor,61.27744510916821,6.137778817301867,94.65371406312684,8.811746890008393e+07,687.905734442794,0,0,0,94.65371753328827,8.811747295293267e+07,46942.90187411916,1.860499959808e+12,0.7168528038323612,2.43,2.38,2.26,4.776316928e+09,69.28495159965345,1.16385792e+10,2.1064125249915025e+08,0,0,193203.8262512335,1.0545467250500803e+08,100398.03781613705,1.0518657641536328e+08,92805.79250713196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528.0349365515186,0,264.01756209620726,0,25487.68801559369,0,0,25487.69885707962,0,0,0,16081.074934093613,0,132.0087410027884,264.01763004126366,0,0,0,221,0,0,0,24.001527825254225,0,45.336226630868616,0.6667091560411811,0,0,0,25464.274124435044,0,69,0,0,0,0,0,0,0,0,0,0,0,214
2019-11-07 06:29:26.319538188,RCA=wally178 anomaly=stess_hdd_hypervisor component=wally178 group=wally178 host=wally178 index=3 injected=wally178 layer=physical node=wally178 target=wally178|stess_hdd_hypervisor,58.423645325838,5.928791285165088,143.90186569098645,1.4670059400910124e+08,999.318368937821,0,0,0,143.90187000510053,1.467005915168908e+08,133632.85424180297,1.86049992704e+12,0.7168544629666137,2.43,2.38,2.26,4.774838272e+09,69.29755795203589,1.1640696832e+10,2.1131064311433148e+08,0,0,195670.58012716693,1.056514854951225e+08,101454.2742820646,1.0565915395574948e+08,94216.30665222021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657.552655637937,0,328.7762596299467,0,25575.861331485128,0,0,25575.853144482255,0,0,0,16408.79583240514,0,164.7216003320478,329.44304863033346,0,0,0,221,0,0,0,20.00665684160645,0,37.34577881412314,0,0,0,0,25555.83197636874,0,69,0.6668885160233687,0,0,0,0,0,0,0,0,0,0,214
2019-11-07 06:29:26.819625615,RCA=wally178 anomaly=stess_hdd_hypervisor component=wally178 group=wally178 host=wally178 index=3 injected=wally178 layer=physical node=wally178 target=wally178|stess_hdd_hypervisor,57.587548632104344,5.917554894899374,138.92016744197696,1.4357239921929988e+08,999.4256500674193,0,0,0,138.92016563705204,1.4357240955057585e+08,177613.92740728616,1.860499922944e+12,0.7168546703583952,2.43,2.38,2.26,4.77437952e+09,69.29716781347085,1.1640631296e+10,2.18550044912954e+08,0,0,200045.73433557022,1.0938889961502321e+08,103925.85178064351,1.0916112247362128e+08,96119.86063153003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711.6279310292847,0,355.81394168756606,0,26332.235561163,0,0,26332.22845517577,0,0,0,16703.261822203807,0,175.9080535640343,351.8159685849929,0,0,0,221,0,0,0,14.992205986881393,0,18.99012038986717,0,0,0,0,26316.329614153317,0,69,0.9994804680537448,0,0,0,0,0,0,0,0,0,0,214
2019-11-07 06:29:27.319728654,RCA=wally178 anomaly=stess_hdd_hypervisor component=wally178 group=wally178 host=wally178 index=3 injected=wally178 layer=physical node=wally178 target=wally178|stess_hdd_hypervisor,51.840490794274395,5.069424554708545,137.97481794002812,1.4384711074227294e+08,999.8175406308302,0,0,0,137.97481619266603,1.4384711630334646e+08,204482.68013869144,1.860656406528e+12,0.7089314747357489,2.43,2.38,2.26,4.775796736e+09,69.28926750752906,1.1639304192e+10,2.168300035305523e+08,0,0,197419.77769085357,1.0853530003163704e+08,102597.05015152415,1.0829468886212152e+08,94822.73164744582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545.9744451201217,0,272.987240303401,0,26021.780515277933,0,0,26022.783955305767,0,0,0,16485.233964148152,0,132.99377190166183,265.9876028498064,0,0,0,221,0,0,0,23.998926528016405,0,61.997170201163335,0,0,0,0,25998.801195276887,0,69,0,0,0,0,0,0,0,0,0,0,0,214
2019-11-07 06:29:27.819807541,RCA=wally178 anomaly=stess_hdd_hypervisor component=wally178 group=wally178 host=wally178 index=3 injected=wally178 layer=physical node=wally178 target=wally178|stess_hdd_hypervisor,49.09722222302168,4.712941656660736,136.0135644514313,1.4248947086519614e+08,1000.0996926042914,0,0,0,136.01356544896362,1.4248947086519614e+08,215965.5290276807,1.86054821888e+12,0.7144093138620434,2.43,2.38,2.26,4.776669184e+09,69.28102583034288,1.1637919744e+10,2.1603868872364947e+08,0,0,196283.04897422652,1.0814822861451657e+08,102017.73019156622,1.0789048544448738e+08,94265.33691582276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481.2859151198321,0,240.64301755433084,0,25850.12289393999,0,0,25850.12839085971,0,0,0,16433.724143065247,0,120.65478200976567,241.3096791933401,0,0,0,221,0,0,0,17.99820375526762,0,44.66222137622346,0,0,0,0,25832.08409544853,0,69,0,0,0,0,0,0,0,0,0,0,0,214
2019-11-07 06:29:28.31990222,RCA=wally178 anomaly=stess_hdd_hypervisor component=wally178 group=wally178 host=wally178 index=3 injected=wally178 layer=physical node=wally178 target=wally178|stess_hdd_hypervisor,44.19354838599844,4.109647703964178,135.96257630087317,1.415188028454715e+08,999.7247188006052,0,0,0,135.96258051455337,1.4151879676183793e+08,214073.0637588896,1.860499918848e+12,0.7168548777501769,2.43,2.38,2.26,4.774445056e+09,69.29348588076341,1.16400128e+10,2.432508499825337e+08,0,0,205959.39298157446,1.2179597722308213e+08,107499.86065064165,1.214549004706477e+08,98459.51686486689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.5209779962167,0,220.7604484222081,0,27780.86187643163,0,0,27779.854413184992,0,0,0,16987.561853252537,0,117.87212395101714,235.74417042625345,0,0,0,221,0,0,0,10.98808959214367,0,14.983756065098559,0,0,0,0,27768.946002968336,0,69,0,0,0,0,0,0,0,0,0,0,0,214
2019-11-07 06:29:28.819984898,RCA=wally178 anomaly=stess_hdd_hypervisor component=wally178 group=wally178 host=wally178 index=3 injected=wally178 layer=physical node=wally178 target=wally178|stess_hdd_hypervisor,42.065217385802676,3.8680943670181467,141.99128982830806,1.488886557454175e+08,999.9386407651868,0,0,0,141.9912894023603,1.48888659020767e+08,252200.52447141736,1.860499918848e+12,0.7168548777501769,2.43,2.38,2.26,4.777005056e+09,69.28178172381261,1.163804672e+10,2.4536619188997406e+08,0,0,211817.03752688115,1.227816275138415e+08,110300.07477759328,1.2258451911932431e+08,101516.933682373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647.9447821456655,0,323.97227218514047,0,28262.58877723847,0,0,28262.584425171764,0,0,0,17648.490101077892,0,177.98483693778675,355.96951121136476,0,0,0,221,0,0,0,30.997395164894716,0,80.99316344806651,0,0,0,0,28231.62713173958,0,69,0,0,0,0,0,0,0,0,0,0,0,214
2019-11-07 06:29:29.320091669,RCA=wally178 anomaly=stess_hdd_hypervisor component=wally178 group=wally178 host=wally178 index=3 injected=wally178 layer=physical node=wally178 target=wally178|stess_hdd_hypervisor,34.39635535392085,3.019587718055615,147.99104550580958,1.5517987079076785e+08,999.9396446429892,0,0,0,147.9910437300245,1.5517986985974488e+08,291170.4159274117,1.860499914752e+12,0.7168550851419584,2.95,2.42,2.37,4.776603648e+09,69.2841713225234,1.1638448128e+10,2.377082904534766e+08,0,0,209763.35243182752,1.1896216677786168e+08,109031.69021443688,1.1874609437074448e+08,100731.64129109857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597.27413311399,0,298.6370757142911,0,27687.256174454942,0,0,27687.257023446684,0,0,0,17634.250259152283,0,160.65075399528243,321.3014619419165,0,0,0,221,0,0,0,29.99703823243111,0,63.32708531422401,0,0,0,0,27657.936957359347,0,69,0,0,0,0,0,0,0,0,0,0,0,214
2019-11-07 06:29:29.820179684,RCA=wally178 anomaly=stess_hdd_hypervisor component=wally178 group=wally178 host=wally178 index=3 injected=wally178 layer=physical node=wally178 target=wally178|stess_hdd_hypervisor,34.44108761665075,3.039438921948994,150.94408412253355,1.5303539669159654e+08,1003.6281507520056,0,0,0,150.9440874420738,1.5303540021010718e+08,254049.87325171087,1.860499910656e+12,0.7168552925337399,2.95,2.42,2.37,4.776562688e+09,69.28453707742813,1.1638509568e+10,2.3598216209483454e+08,0,0,211741.11961286407,1.181451600829799e+08,109900.99635775422,1.178369951704855e+08,101840.12612199856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635.9348357573799,0,317.96759973752194,0,27670.17083571273,0,0,27670.17913591781,0,0,0,18031.161632915715,0,173.9821843982998,347.9645632888747,0,0,0,221,0,0,0,18.99809618178353,0,22.997680063028284,0,0,0,0,27651.235567724118,0,69,0,0,0,0,0,0,0,0,0,0,0,214
