time,tags,cpu,cpu-jiffies,disk-io/all/io,disk-io/all/ioBytes,disk-io/all/ioTime,disk-io/all/read,disk-io/all/readBytes,disk-io/all/readTime,disk-io/all/write,disk-io/all/writeBytes,disk-io/all/writeTime,disk-usage/all/free,disk-usage/all/used,load/1,load/15,load/5,mem/free,mem/percent,mem/used,net-io/bytes,net-io/dropped,net-io/errors,net-io/packets,net-io/rx_bytes,net-io/rx_packets,net-io/tx_bytes,net-io/tx_packets,net-proto/icmp/InAddrMaskReps,net-proto/icmp/InAddrMasks,net-proto/icmp/InCsumErrors,net-proto/icmp/InDestUnreachs,net-proto/icmp/InEchoReps,net-proto/icmp/InEchos,net-proto/icmp/InErrors,net-proto/icmp/InMsgs,net-proto/icmp/InParmProbs,net-proto/icmp/InRedirects,net-proto/icmp/InSrcQuenchs,net-proto/icmp/InTimeExcds,net-proto/icmp/InTimestampReps,net-proto/icmp/InTimestamps,net-proto/icmp/OutAddrMaskReps,net-proto/icmp/OutAddrMasks,net-proto/icmp/OutDestUnreachs,net-proto/icmp/OutEchoReps,net-proto/icmp/OutEchos,net-proto/icmp/OutErrors,net-proto/icmp/OutMsgs,net-proto/icmp/OutParmProbs,net-proto/icmp/OutRedirects,net-proto/icmp/OutSrcQuenchs,net-proto/icmp/OutTimeExcds,net-proto/icmp/OutTimestampReps,net-proto/icmp/OutTimestamps,net-proto/icmpmsg/InType13,net-proto/icmpmsg/InType3,net-proto/icmpmsg/InType5,net-proto/icmpmsg/InType8,net-proto/icmpmsg/OutType0,net-proto/icmpmsg/OutType14,net-proto/icmpmsg/OutType3,net-proto/ip/ForwDatagrams,net-proto/ip/FragCreates,net-proto/ip/FragFails,net-proto/ip/FragOKs,net-proto/ip/InAddrErrors,net-proto/ip/InDelivers,net-proto/ip/InDiscards,net-proto/ip/InHdrErrors,net-proto/ip/InReceives,net-proto/ip/InUnknownProtos,net-proto/ip/OutDiscards,net-proto/ip/OutNoRoutes,net-proto/ip/OutRequests,net-proto/ip/ReasmFails,net-proto/ip/ReasmOKs,net-proto/ip/ReasmReqds,net-proto/ip/ReasmTimeout,net-proto/tcp/ActiveOpens,net-proto/tcp/AttemptFails,net-proto/tcp/CurrEstab,net-proto/tcp/EstabResets,net-proto/tcp/InCsumErrors,net-proto/tcp/InErrs,net-proto/tcp/InSegs,net-proto/tcp/OutRsts,net-proto/tcp/OutSegs,net-proto/tcp/PassiveOpens,net-proto/tcp/RetransSegs,net-proto/udp/IgnoredMulti,net-proto/udp/InCsumErrors,net-proto/udp/InDatagrams,net-proto/udp/InErrors,net-proto/udp/NoPorts,net-proto/udp/OutDatagrams,net-proto/udp/RcvbufErrors,net-proto/udp/SndbufErrors,net-proto/udplite/IgnoredMulti,net-proto/udplite/InCsumErrors,net-proto/udplite/InDatagrams,net-proto/udplite/InErrors,net-proto/udplite/NoPorts,net-proto/udplite/OutDatagrams,net-proto/udplite/RcvbufErrors,net-proto/udplite/SndbufErrors,num_procs
2019-11-05 21:27:33.482257232,RCA=wally193 anomaly=stress_mem_hypervisor component=wally193 group=wally193 host=wally193 index=0 injected=wally193 layer=physical node=wally193 target=wally193|stress_mem_hypervisor,64.74358967011263,6.058407870970918,0,0,0,0,0,0,0,0,0,1.862504902656e+12,0.6153370154610407,3.57,3.7,3.6,8.487247872e+09,46.88811452255487,7.876374528e+09,2.816915639144376e+08,0,0,239248.83907499455,1.409410681638713e+08,124818.9677136896,1.4075050292899537e+08,114429.88682369087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879.415881302923,0,939.7076982822032,0,32492.89055194835,0,0,32492.900913959835,0,0,0,19730.860959651876,0,487.84824016944816,975.6965213054062,0,0,0,144,0,0,0,26.991590203248787,0,44.98598673017559,0.9996890916940377,0,0,0,32465.89716472259,0,1057,0,0,0,0,0,0,0,0,0,0,0,215
2019-11-05 21:27:33.982307433,RCA=wally193 anomaly=stress_mem_hypervisor component=wally193 group=wally193 host=wally193 index=0 injected=wally193 layer=physical node=wally193 target=wally193|stress_mem_hypervisor,71.20253152196034,6.749003214581871,0,0,0,0,0,0,0,0,0,1.862504902656e+12,0.6153370154610407,3.6,3.7,3.61,7.893458944e+09,50.42101800698393,8.469839872e+09,2.685945251407385e+08,0,0,235030.69007101844,1.343869223276758e+08,122360.53806476317,1.3420759395146899e+08,112670.15139903047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1848.5062204573271,0,924.2538967248972,0,31511.265674968017,0,0,31511.235038717088,0,0,0,19573.2485917733,0,479.1193796996122,958.2383788291211,0,0,0,144,0,0,0,19.991086600872052,0,33.31847844520477,0.6663694694372682,0,0,0,31491.286602955704,0,1057,0,0,0,0,0,0,0,0,0,0,0,215
2019-11-05 21:27:34.482413885,RCA=wally193 anomaly=stress_mem_hypervisor component=wally193 group=wally193 host=wally193 index=0 injected=wally193 layer=physical node=wally193 target=wally193|stress_mem_hypervisor,73.79518085943327,7.343876996255935,0,0,0,0,0,0,0,0,0,1.862504902656e+12,0.6153370154610407,3.6,3.7,3.61,7.323987968e+09,53.811082845195635,9.039310848e+09,2.5188096258601716e+08,0,0,231760.98994606713,1.2599928219166812e+08,120089.56644342632,1.2588166339922346e+08,111671.39722542647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1871.0142093884283,0,935.5070280230341,0,30344.012528742933,0,0,30344.012801695233,0,0,0,19577.684889807573,0,476.7488005802255,953.4975020489328,0,0,0,144,0,0,0,2.9984203182363807,0,4.997366897376506,0,0,0,0,30342.0112771575,0,1057,0,0,0,0,0,0,0,0,0,0,0,215
2019-11-05 21:27:34.982467531,RCA=wally193 anomaly=stress_mem_hypervisor component=wally193 group=wally193 host=wally193 index=0 injected=wally193 layer=physical node=wally193 target=wally193|stress_mem_hypervisor,74.98349846390371,7.567362104071429,0,0,0,0,0,0,0,0,0,1.862504902656e+12,0.6153370154610407,3.6,3.7,3.61,7.272394752e+09,54.118217633135835,9.090904064e+09,2.4921526267019615e+08,0,0,228895.1944061811,1.2468675757433243e+08,118601.18624104634,1.2452852986808243e+08,110294.01832892807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1790.6869054084461,0,895.3420167332708,0,30021.92838862147,0,0,30021.98373848918,0,0,0,19286.840970725003,0,475.6504368835273,951.3014089564288,0,0,0,144,0,0,0,36.97275588537075,0,65.9513950749063,0,0,0,0,29984.93025175666,0,1057,0,0,0,0,0,0,0,0,0,0,0,218
2019-11-05 21:27:35.482602411,RCA=wally193 anomaly=stress_mem_hypervisor component=wally193 group=wally193 host=wally193 index=0 injected=wally193 layer=physical node=wally193 target=wally193|stress_mem_hypervisor,77.46615063618965,8.009966279681091,0,0,0,0,0,0,0,0,0,1.862504902656e+12,0.6153370154610407,3.6,3.7,3.61,7.273013248e+09,54.11453572197523,9.090285568e+09,2.4711009633289278e+08,0,0,226497.77229056528,1.2372993501665537e+08,117489.30135311413,1.2338016799224834e+08,109008.46412785478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1813.2116378210494,0,906.6048470953531,0,29793.296802599292,0,0,29793.332572015574,0,0,0,19104.707528326293,0,473.30104568259895,946.6025179382993,0,0,0,144,0,0,0,30.664537402961507,0,50.66315000232327,0,0,0,0,29762.61524864804,0,1057,0,0,0,0,0,0,0,0,0,0,0,218
2019-11-05 21:27:35.982680934,RCA=wally193 anomaly=stress_mem_hypervisor component=wally193 group=wally193 host=wally193 index=0 injected=wally193 layer=physical node=wally193 target=wally193|stress_mem_hypervisor,78.0795344217604,8.049008000754005,0,0,0,0,0,0,0,0,0,1.86250489856e+12,0.6153372228528223,3.6,3.7,3.61,7.272001536e+09,54.12053406730972,9.091293184e+09,2.4686175944328803e+08,0,0,226610.2233276199,1.2347643530793123e+08,117527.8662692686,1.233852870267731e+08,109082.35392540187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1848.764703843333,0,924.3827566768223,0,29808.182022731144,0,0,29808.166944427805,0,0,0,19092.130824422828,0,481.18556766131206,962.3709647145647,0,0,0,144,0,0,0,35.9889800783294,0,55.98285775038159,0,0,0,0,29772.87151850094,0,1057,0,0,0,0,0,0,0,0,0,0,0,218
2019-11-05 21:27:36.48275823,RCA=wally193 anomaly=stress_mem_hypervisor component=wally193 group=wally193 host=wally193 index=0 injected=wally193 layer=physical node=wally193 target=wally193|stress_mem_hypervisor,77.3658536374569,7.9207822666843,0,0,0,0,0,0,0,0,0,1.86250489856e+12,0.6153372228528223,3.6,3.7,3.61,7.272554496e+09,54.11724229243104,9.090740224e+09,2.5769047834546724e+08,0,0,234012.06357697907,1.2868401501725346e+08,121137.8332630373,1.290065133013151e+08,112874.27061777347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1890.4596308073026,0,945.2288161657548,0,30687.95218654582,0,0,30687.993121605028,0,0,0,19702.93566457341,0,472.6143717212372,945.2290371690395,0,0,0,144,0,0,0,19.983629091310334,0,53.955800595180044,0,0,0,0,30668.928151236367,0,1057,0,0,0,0,0,0,0,0,0,0,0,218
2019-11-05 21:27:36.982857611,RCA=wally193 anomaly=stress_mem_hypervisor component=wally193 group=wally193 host=wally193 index=0 injected=wally193 layer=physical node=wally193 target=wally193|stress_mem_hypervisor,76.51072129689528,7.8459129753909025,0,0,0,0,0,0,0,0,0,1.862504894464e+12,0.6153374302446039,3.6,3.7,3.61,7.272370176e+09,54.11831516720631,9.090920448e+09,2.477191516069818e+08,0,0,228607.9118108236,1.2392940314391679e+08,118362.65661961502,1.2378981852548882e+08,110245.27848444768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1743.0942167780993,0,871.5465108186652,0,29850.460685979775,0,0,29850.487925295227,0,0,0,19335.94774350279,0,457.7617757365271,915.5238204970545,0,0,0,144,0,0,0,17.990596800798336,0,51.97283670873121,0,0,0,0,29830.441694490706,0,1057,0,0,0,0,0,0,0,0,0,0,0,218
2019-11-05 21:27:37.482949953,RCA=wally193 anomaly=stress_mem_hypervisor component=wally193 group=wally193 host=wally193 index=0 injected=wally193 layer=physical node=wally193 target=wally193|stress_mem_hypervisor,76.71854724648554,7.883853617153632,3.9988950293243923,24569.206859995276,11.99668137002929,0,0,0,3.998895161251478,24569.208947800784,11.99668193371741,1.862504894464e+12,0.6153374302446039,3.6,3.7,3.61,7.272349696e+09,54.118437084794415,9.090940928e+09,2.468615732167284e+08,0,0,229912.2220528815,1.2350136291126706e+08,119134.71341880743,1.2336011504389468e+08,110777.47695665564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875.2882024828482,0,937.6455034268738,0,30060.664604348338,0,0,30060.59489005633,0,0,0,19384.657014384324,0,522.8023984686604,1045.6041541337238,0,0,0,144,0,0,0,20.992181650873768,0,50.981006669098385,0,0,0,0,30038.728627934397,0,1057,0,0,0,0,0,0,0,0,0,0,0,218
2019-11-05 21:27:37.983059965,RCA=wally193 anomaly=stress_mem_hypervisor component=wally193 group=wally193 host=wally193 index=0 injected=wally193 layer=physical node=wally193 target=wally193|stress_mem_hypervisor,76.16580313118564,7.842170211908514,3.99915014060362,24570.77767777081,11.997450553754776,0,0,0,3.9991501725900247,24570.77782516415,11.997450145928136,1.862504890368e+12,0.6153376376363854,3.6,3.7,3.61,7.271890944e+09,54.12119242228546,9.091403776e+09,2.4435308857445768e+08,0,0,229835.23686332343,1.222244956018066e+08,118899.09356561567,1.2212855134845944e+08,110936.11915026187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1873.2870581475652,0,936.6444126198525,0,29847.299284903787,0,0,29847.266791942166,0,0,0,19461.527980100367,0,517.3210897226625,1034.6418228472166,0,0,0,144,0,0,0,17.332965273593405,0,41.332452869422305,0,0,0,0,29829.335979094878,0,1057,0,0,0,0,0,0,0,0,0,0,0,218
